"Tabela 1554 - Pessoas de 10 anos ou mais de idade, por nível de instrução - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Município","Ano","Nível de instrução"
"Município","Ano","Total","Sem instrução e fundamental incompleto","Fundamental completo e médio incompleto","Médio completo e superior incompleto","Superior completo","Não determinado"
"Formoso do Araguaia (TO)","2010","15112","8786","2555","2790","827","155"
"Tabocão (TO)","2010","2009","1253","283","367","93","13"
"Goianorte (TO)","2010","4058","2819","533","532","159","15"
"Goiatins (TO)","2010","9263","6503","1223","1114","336","87"
"Guaraí (TO)","2010","19370","9786","3460","4259","1822","43"
"Gurupi (TO)","2010","64530","26580","12112","19288","6365","185"
"Ipueiras (TO)","2010","1303","886","225","165","26","-"
"Itacajá (TO)","2010","5604","3704","711","869","296","24"
"Itaguatins (TO)","2010","4795","3289","673","681","153","-"
"Itapiratins (TO)","2010","2883","2137","338","325","83","-"
"Itaporã do Tocantins (TO)","2010","2015","1338","232","366","73","5"
"Jaú do Tocantins (TO)","2010","2891","1999","402","357","125","8"
"Juarina (TO)","2010","1813","1195","313","237","68","-"
"Lagoa da Confusão (TO)","2010","7960","5003","1298","1331","319","8"
"Lagoa do Tocantins (TO)","2010","2641","1807","268","249","145","171"
"Lajeado (TO)","2010","2226","1303","300","444","97","82"
"Lavandeira (TO)","2010","1277","751","222","261","43","-"
"Lizarda (TO)","2010","2948","2145","311","388","100","3"
"Luzinópolis (TO)","2010","2070","1228","354","394","93","-"
"Marianópolis do Tocantins (TO)","2010","3520","2302","587","467","163","2"
"Mateiros (TO)","2010","1689","1189","211","230","54","4"
"Maurilândia do Tocantins (TO)","2010","2490","1735","323","359","73","-"
"Miracema do Tocantins (TO)","2010","16930","9670","2459","3713","1044","43"
"Miranorte (TO)","2010","10506","6270","1621","2159","419","37"
"Monte do Carmo (TO)","2010","5417","3631","964","615","206","-"
"Monte Santo do Tocantins (TO)","2010","1755","1165","266","299","19","5"
"Palmeiras do Tocantins (TO)","2010","4630","3030","720","740","124","15"
"Muricilândia (TO)","2010","2495","1710","309","381","67","28"
"Natividade (TO)","2010","7408","4615","1013","1342","438","-"
"Nazaré (TO)","2010","3574","2162","596","631","184","-"
"Nova Olinda (TO)","2010","8525","5411","1583","1258","257","17"
"Nova Rosalândia (TO)","2010","3116","1737","569","630","165","15"
"Novo Acordo (TO)","2010","3002","1903","505","446","145","2"
"Novo Alegre (TO)","2010","1923","1026","233","508","121","36"
"Novo Jardim (TO)","2010","1874","1310","285","252","27","-"
"Oliveira de Fátima (TO)","2010","835","446","165","177","49","-"
"Palmeirante (TO)","2010","3953","2863","536","434","114","6"
"Palmeirópolis (TO)","2010","6139","3744","1045","1058","255","37"
