"Tabela 1554 - Pessoas de 10 anos ou mais de idade, por nível de instrução - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Município","Ano","Nível de instrução"
"Município","Ano","Total","Sem instrução e fundamental incompleto","Fundamental completo e médio incompleto","Médio completo e superior incompleto","Superior completo","Não determinado"
"Esperança Nova (PR)","2010","1753","1129","214","343","66","1"
"Entre Rios do Oeste (PR)","2010","3415","1820","575","818","196","5"
"Espigão Alto do Iguaçu (PR)","2010","3876","2698","605","491","81","-"
"Farol (PR)","2010","2986","1739","574","576","97","-"
"Faxinal (PR)","2010","13974","8193","2152","2657","886","85"
"Fazenda Rio Grande (PR)","2010","67119","36167","14168","13766","1918","1101"
"Fênix (PR)","2010","4204","2350","791","853","205","5"
"Fernandes Pinheiro (PR)","2010","4984","3426","858","620","81","-"
"Figueira (PR)","2010","7129","4503","1080","1132","387","26"
"Floraí (PR)","2010","4589","2540","772","921","328","29"
"Flor da Serra do Sul (PR)","2010","4047","2653","750","533","111","-"
"Floresta (PR)","2010","5184","2544","945","1313","382","-"
"Florestópolis (PR)","2010","9690","5837","1523","1972","338","19"
"Flórida (PR)","2010","2202","1226","299","522","141","14"
"Formosa do Oeste (PR)","2010","6781","3780","1091","1452","416","41"
"Foz do Iguaçu (PR)","2010","215329","100877","40802","50639","21114","1898"
"Francisco Alves (PR)","2010","5512","3572","935","801","198","7"
"Francisco Beltrão (PR)","2010","68165","29780","13784","18110","6359","131"
"Foz do Jordão (PR)","2010","4427","3140","567","559","128","32"
"General Carneiro (PR)","2010","11161","7311","1861","1634","333","23"
"Godoy Moreira (PR)","2010","2903","1986","456","401","60","-"
"Goioerê (PR)","2010","25077","13675","4259","5091","1907","144"
"Goioxim (PR)","2010","6123","4201","1088","646","161","27"
"Grandes Rios (PR)","2010","5837","3816","856","863","251","51"
"Guaíra (PR)","2010","25992","14319","3961","5115","2412","186"
"Guairaçá (PR)","2010","5297","3359","793","900","219","26"
"Guamiranga (PR)","2010","6728","4588","1046","927","158","9"
"Guapirama (PR)","2010","3364","1921","604","684","131","24"
"Guaporema (PR)","2010","1962","1062","385","408","107","-"
"Guaraci (PR)","2010","4562","2787","753","832","190","-"
"Guaraniaçu (PR)","2010","12526","8313","1955","1504","710","43"
"Guarapuava (PR)","2010","140989","74270","25716","28892","11730","380"
"Guaraqueçaba (PR)","2010","6538","4720","906","743","148","21"
"Guaratuba (PR)","2010","26982","14329","5017","5671","1874","91"
"Honório Serpa (PR)","2010","4979","3211","869","700","199","-"
"Ibaiti (PR)","2010","24367","14759","3625","4661","1270","51"
"Ibema (PR)","2010","5113","3084","990","859","178","3"
"Ibiporã (PR)","2010","41559","21029","7972","8839","3152","566"
"Icaraíma (PR)","2010","7685","4927","1200","1202","353","3"
"Iguaraçu (PR)","2010","3472","1567","666","1009","226","4"
"Iguatu (PR)","2010","1944","1165","303","352","85","40"
"Imbaú (PR)","2010","9287","6736","1412","848","178","113"
"Imbituva (PR)","2010","23706","16573","3096","3198","749","91"
"Inácio Martins (PR)","2010","8835","6498","1018","1029","284","5"
"Inajá (PR)","2010","2618","1564","463","486","105","-"
"Indianópolis (PR)","2010","3741","2095","680","760","207","-"
"Ipiranga (PR)","2010","11813","8364","1764","1332","313","41"
"Iporã (PR)","2010","13115","8043","2088","2316","628","39"
"Iracema do Oeste (PR)","2010","2256","1361","391","382","94","28"
"Irati (PR)","2010","48267","26590","8798","9532","3235","112"
"Iretama (PR)","2010","9055","6378","1152","1087","406","31"
"Itaguajé (PR)","2010","3944","2164","674","862","192","52"
"Itaipulândia (PR)","2010","7796","4444","1380","1311","652","9"
"Itambaracá (PR)","2010","5861","3380","983","1189","293","16"
"Itambé (PR)","2010","5204","2548","931","1434","270","21"
"Itapejara d'Oeste (PR)","2010","9122","5288","1612","1791","424","8"
"Itaperuçu (PR)","2010","19387","13032","3265","2635","299","156"
"Itaúna do Sul (PR)","2010","3031","1967","491","420","123","30"
"Ivaí (PR)","2010","10653","7134","1710","1471","333","5"
"Ivaiporã (PR)","2010","27715","14988","4948","5411","2232","136"
"Ivaté (PR)","2010","6448","3542","1163","1497","239","6"
"Ivatuba (PR)","2010","2729","1210","740","555","224","-"
"Jaboti (PR)","2010","4230","2596","682","761","187","4"
"Jacarezinho (PR)","2010","33628","15963","5940","8180","3394","151"
"Jaguapitã (PR)","2010","10667","6331","1916","1815","591","15"
"Jaguariaíva (PR)","2010","27206","14008","5424","6003","1638","134"
"Jandaia do Sul (PR)","2010","17790","8547","3309","3767","2075","91"
"Janiópolis (PR)","2010","5736","3634","890","982","221","8"
"Japira (PR)","2010","4152","2536","652","774","191","-"
"Japurá (PR)","2010","7529","4633","1251","1223","394","28"
"Jardim Alegre (PR)","2010","10658","6950","1953","1269","477","9"
"Jardim Olinda (PR)","2010","1218","761","234","167","53","4"
"Jataizinho (PR)","2010","10036","6101","1577","1833","421","104"
"Jesuítas (PR)","2010","7943","4961","1238","1325","411","9"
"Joaquim Távora (PR)","2010","9301","5220","1614","1774","658","36"
"Jundiaí do Sul (PR)","2010","2946","1898","363","551","123","11"
"Juranda (PR)","2010","6620","3922","1111","1281","290","16"
"Jussara (PR)","2010","5670","3398","960","1048","259","6"
"Kaloré (PR)","2010","4033","2259","696","760","297","20"
"Lapa (PR)","2010","38202","22218","6388","7537","2000","59"
"Laranjal (PR)","2010","5139","3882","713","406","107","30"
"Laranjeiras do Sul (PR)","2010","26086","15537","4414","4167","1870","99"
"Leópolis (PR)","2010","3633","2022","539","903","169","-"
"Lidianópolis (PR)","2010","3485","2161","722","469","133","-"
"Lindoeste (PR)","2010","4601","2708","1110","490","146","147"
"Loanda (PR)","2010","18351","9818","3271","3718","1439","104"
"Lobato (PR)","2010","3834","1877","623","1055","277","3"
"Londrina (PR)","2010","440897","177498","79360","117076","64578","2386"
"Luiziana (PR)","2010","6166","3923","966","1086","191","-"
"Lunardelli (PR)","2010","4467","2809","690","740","208","20"
"Lupionópolis (PR)","2010","3997","2372","566","836","217","7"
"Mallet (PR)","2010","11192","6531","1780","2413","443","24"
"Mamborê (PR)","2010","12016","6742","2224","2245","784","22"
"Mandaguaçu (PR)","2010","17072","9249","3280","3389","1139","15"
"Mandaguari (PR)","2010","28654","14461","5307","6149","2616","121"
"Mandirituba (PR)","2010","18519","12190","3061","2608","523","136"
"Manfrinópolis (PR)","2010","2641","1855","411","303","69","3"
"Mangueirinha (PR)","2010","14249","8553","2594","2299","789","15"
"Manoel Ribas (PR)","2010","11046","6467","1798","2157","596","28"
"Marechal Cândido Rondon (PR)","2010","40941","19503","7210","10500","3602","126"
"Maria Helena (PR)","2010","5266","3279","1068","705","214","-"
"Marialva (PR)","2010","27889","14060","5596","5919","2265","49"
"Marilândia do Sul (PR)","2010","7578","4723","1237","1294","287","39"
"Marilena (PR)","2010","5922","3825","1051","852","177","18"
"Mariluz (PR)","2010","8634","5830","1154","1296","285","68"
"Maringá (PR)","2010","315711","112628","54535","98763","49013","772"
"Mariópolis (PR)","2010","5425","3276","886","943","263","57"
"Maripá (PR)","2010","5043","2658","854","1160","367","4"
"Marmeleiro (PR)","2010","11925","7220","2004","2113","588","-"
"Marquinho (PR)","2010","4131","3131","555","367","78","-"
"Marumbi (PR)","2010","4057","2242","608","882","225","101"
"Matelândia (PR)","2010","13719","7386","2469","2930","871","63"
"Matinhos (PR)","2010","25400","12651","4816","5913","1985","36"
"Mato Rico (PR)","2010","3267","2254","472","446","47","48"
"Mauá da Serra (PR)","2010","7063","4580","1348","892","223","19"
"Medianeira (PR)","2010","36067","17886","6736","7704","3697","44"
"Mercedes (PR)","2010","4391","2473","780","916","222","-"
"Mirador (PR)","2010","1974","1188","346","391","48","2"
"Miraselva (PR)","2010","1650","814","291","413","131","2"
"Missal (PR)","2010","9185","5448","1574","1452","702","9"
"Moreira Sales (PR)","2010","10944","7033","1688","1755","407","61"
"Morretes (PR)","2010","13324","7820","2138","2694","631","42"
"Munhoz de Melo (PR)","2010","3242","1862","605","616","157","2"
"Nossa Senhora das Graças (PR)","2010","3390","1979","467","803","141","-"
"Nova Aliança do Ivaí (PR)","2010","1220","639","234","274","71","2"
"Nova América da Colina (PR)","2010","2969","1662","572","634","101","-"
"Nova Aurora (PR)","2010","10384","5621","1905","2121","671","66"
"Nova Cantu (PR)","2010","6389","4215","968","1008","185","12"
"Nova Esperança (PR)","2010","23232","12712","3719","4896","1840","65"
"Nova Esperança do Sudoeste (PR)","2010","4369","2660","832","691","138","48"
"Nova Fátima (PR)","2010","7039","4540","939","1146","411","4"
"Nova Laranjeiras (PR)","2010","9185","6443","1249","1066","318","109"
"Nova Londrina (PR)","2010","11293","5862","1932","2541","865","93"
"Nova Olímpia (PR)","2010","4825","2852","706","1004","261","2"
"Nova Santa Bárbara (PR)","2010","3348","2099","436","672","140","-"
"Nova Santa Rosa (PR)","2010","6697","3693","1265","1336","402","-"
"Nova Prata do Iguaçu (PR)","2010","8926","5208","1583","1617","485","34"
"Nova Tebas (PR)","2010","6342","4278","922","840","219","83"
"Novo Itacolomi (PR)","2010","2505","1424","360","622","96","3"
"Ortigueira (PR)","2010","19480","14760","2469","1502","556","193"
"Ourizona (PR)","2010","2980","1688","446","694","142","10"
"Ouro Verde do Oeste (PR)","2010","4925","2931","904","890","178","22"
"Paiçandu (PR)","2010","30872","17021","6618","6234","918","80"
"Palmas (PR)","2010","34525","21679","5761","4278","2482","326"
"Palmeira (PR)","2010","27239","15254","5043","5158","1720","65"
"Palmital (PR)","2010","12244","8199","1861","1677","478","29"
"Palotina (PR)","2010","24832","11653","4062","6042","2991","83"
"Paraíso do Norte (PR)","2010","10125","5316","1798","2376","603","33"
"Paranacity (PR)","2010","8660","4784","1717","1651","507","-"
"Paranaguá (PR)","2010","117257","54328","24215","30098","7997","617"
"Paranapoema (PR)","2010","2372","1346","365","527","132","1"
"Paranavaí (PR)","2010","70888","32856","12645","17609","7450","328"
"Pato Bragado (PR)","2010","4153","2139","775","971","267","-"
"Pato Branco (PR)","2010","62216","26023","12226","15733","7791","443"
"Paula Freitas (PR)","2010","4616","2758","930","765","153","10"
"Paulo Frontin (PR)","2010","5981","3598","1024","1114","243","3"
"Peabiru (PR)","2010","11764","6509","1953","2489","728","85"
"Perobal (PR)","2010","4914","2852","965","877","187","32"
"Pérola (PR)","2010","8999","5341","1639","1534","470","16"
"Pérola d'Oeste (PR)","2010","5901","3429","999","1061","404","8"
"Piên (PR)","2010","9478","5767","1737","1547","426","-"
"Pinhais (PR)","2010","99181","44856","21076","25280","7208","761"
"Pinhalão (PR)","2010","5381","3146","959","1048","228","-"
"Pinhal de São Bento (PR)","2010","2199","1419","368","322","90","-"
"Pinhão (PR)","2010","24743","16335","4110","3398","890","10"
"Piraí do Sul (PR)","2010","19514","11149","3396","3964","989","16"
"Piraquara (PR)","2010","77085","42735","15913","15020","2700","717"
"Pitanga (PR)","2010","27810","16098","4692","5042","1870","108"
"Pitangueiras (PR)","2010","2424","1433","391","481","112","6"
"Planaltina do Paraná (PR)","2010","3515","2016","657","632","203","7"
"Planalto (PR)","2010","11952","7294","2301","1865","467","25"
"Ponta Grossa (PR)","2010","263232","116410","51329","68497","26008","988"
"Pontal do Paraná (PR)","2010","17850","8866","3669","3985","1259","71"
"Porecatu (PR)","2010","12458","6345","2188","2936","913","76"
"Porto Amazonas (PR)","2010","3820","2214","614","786","206","-"
"Porto Barreiro (PR)","2010","3127","2044","564","416","96","6"
"Porto Rico (PR)","2010","2200","1147","492","390","156","15"
"Porto Vitória (PR)","2010","3392","2124","603","555","104","6"
"Prado Ferreira (PR)","2010","2979","1893","478","429","140","39"
"Pranchita (PR)","2010","4941","2664","932","1072","264","8"
"Presidente Castelo Branco (PR)","2010","4103","2391","645","829","173","64"
"Primeiro de Maio (PR)","2010","9533","5710","1562","1710","528","21"
"Prudentópolis (PR)","2010","41295","26633","5898","6770","1968","27"
"Quarto Centenário (PR)","2010","4214","2636","726","651","191","9"
"Quatiguá (PR)","2010","6209","3606","923","1346","334","-"
"Quatro Barras (PR)","2010","16754","7700","2968","4789","1131","167"
"Quatro Pontes (PR)","2010","3382","1737","712","675","230","28"
"Quedas do Iguaçu (PR)","2010","25370","15610","4458","4079","1146","76"
"Querência do Norte (PR)","2010","10029","6192","1760","1634","443","-"
"Quinta do Sol (PR)","2010","4410","2662","818","649","278","3"
"Quitandinha (PR)","2010","14530","9155","2708","2200","436","30"
"Ramilândia (PR)","2010","3486","2520","438","435","93","-"
"Rancho Alegre (PR)","2010","3488","2086","638","629","134","-"
"Rancho Alegre D'Oeste (PR)","2010","2454","1559","381","393","121","-"
"Realeza (PR)","2010","14178","8128","2468","2699","847","37"
"Rebouças (PR)","2010","12025","7737","1828","1931","499","29"
"Renascença (PR)","2010","5799","3527","915","1084","271","-"
"Reserva (PR)","2010","20702","15336","2196","2174","604","392"
"Reserva do Iguaçu (PR)","2010","5917","4116","1040","465","275","20"
"Ribeirão Claro (PR)","2010","9295","5248","1611","1804","556","77"
"Ribeirão do Pinhal (PR)","2010","11639","7167","1744","2094","612","21"
"Rio Azul (PR)","2010","11891","7904","2020","1556","395","15"
"Rio Bom (PR)","2010","2931","1639","527","624","140","-"
"Rio Bonito do Iguaçu (PR)","2010","11251","8283","1638","995","307","27"
"Rio Branco do Ivaí (PR)","2010","3260","2197","473","487","100","4"
"Rio Branco do Sul (PR)","2010","25480","15506","4819","4066","896","193"
"Rio Negro (PR)","2010","26576","12592","5378","6568","1986","52"
"Rolândia (PR)","2010","50209","24703","9318","10658","4742","787"
"Roncador (PR)","2010","9859","6259","1768","1360","405","67"
"Rondon (PR)","2010","7694","4369","1429","1297","591","8"
"Rosário do Ivaí (PR)","2010","4819","3177","696","646","288","12"
"Sabáudia (PR)","2010","5346","2928","906","1192","313","7"
"Salgado Filho (PR)","2010","3807","2484","530","636","157","-"
"Salto do Itararé (PR)","2010","4535","2795","645","916","179","-"
"Salto do Lontra (PR)","2010","11758","6985","2087","2058","617","11"
"Santa Amélia (PR)","2010","3294","2268","651","237","127","10"
"Santa Cecília do Pavão (PR)","2010","3169","1840","462","702","159","5"
"Santa Cruz de Monte Castelo (PR)","2010","6995","3909","1137","1589","346","14"
"Santa Fé (PR)","2010","9144","5094","1741","1713","590","5"
"Santa Helena (PR)","2010","20355","10848","3776","3973","1739","19"
"Santa Inês (PR)","2010","1598","908","269","357","64","-"
"Santa Isabel do Ivaí (PR)","2010","7715","4280","1204","1729","446","57"
"Santa Izabel do Oeste (PR)","2010","11366","6703","1864","2224","542","32"
"Santa Lúcia (PR)","2010","3337","2048","607","543","139","-"
"Santa Maria do Oeste (PR)","2010","9643","6823","1254","1177","330","59"
"Santa Mariana (PR)","2010","10953","6354","1539","2315","728","17"
"Santa Mônica (PR)","2010","3034","1781","586","525","127","15"
"Santana do Itararé (PR)","2010","4528","3005","640","750","127","7"
"Santa Tereza do Oeste (PR)","2010","8748","4862","1882","1613","360","30"
"Santa Terezinha de Itaipu (PR)","2010","17904","9090","3636","3781","1219","179"
"Santo Antônio da Platina (PR)","2010","36348","19133","5637","8483","2927","168"
"Santo Antônio do Caiuá (PR)","2010","2374","1391","375","416","144","47"
"Santo Antônio do Paraíso (PR)","2010","2064","1146","303","493","104","17"
"Santo Antônio do Sudoeste (PR)","2010","15922","10383","2789","1977","711","62"
"Santo Inácio (PR)","2010","4583","2429","674","1202","278","-"
"São Carlos do Ivaí (PR)","2010","5498","3590","1004","665","237","2"
"São Jerônimo da Serra (PR)","2010","9582","6674","1398","1082","416","12"
"São João (PR)","2010","9248","5227","1550","1760","686","26"
"São João do Caiuá (PR)","2010","5079","3306","683","817","246","27"
"São João do Ivaí (PR)","2010","10067","6155","1622","1712","563","15"
"São João do Triunfo (PR)","2010","11467","8349","1647","1166","284","20"
"São Jorge d'Oeste (PR)","2010","7980","4439","1589","1425","488","39"
"São Jorge do Ivaí (PR)","2010","4872","2644","725","1129","325","49"
"São Jorge do Patrocínio (PR)","2010","5367","3649","1049","417","249","3"
"São José da Boa Vista (PR)","2010","5651","3633","923","914","174","7"
"São José das Palmeiras (PR)","2010","3309","1957","570","634","148","-"
"São José dos Pinhais (PR)","2010","222039","98531","45113","60047","17344","1004"
"São Manoel do Paraná (PR)","2010","1841","1108","298","348","86","1"
"São Mateus do Sul (PR)","2010","34921","19221","6669","6791","2024","217"
"São Miguel do Iguaçu (PR)","2010","22154","13542","3856","3181","1496","80"
"São Pedro do Iguaçu (PR)","2010","5636","3629","841","953","203","10"
"São Pedro do Ivaí (PR)","2010","8747","4675","1682","1824","523","43"
"São Pedro do Paraná (PR)","2010","2171","1286","399","382","95","8"
"São Sebastião da Amoreira (PR)","2010","7479","4244","1120","1632","478","5"
"São Tomé (PR)","2010","4659","2604","776","947","279","53"
"Sapopema (PR)","2010","5738","4005","842","585","305","-"
"Sarandi (PR)","2010","70546","42528","14242","11659","1516","602"
"Saudade do Iguaçu (PR)","2010","4192","2643","713","578","259","-"
"Sengés (PR)","2010","15113","9931","2699","1849","556","79"
"Serranópolis do Iguaçu (PR)","2010","4043","2315","676","769","277","6"
"Sertaneja (PR)","2010","5148","2877","771","1071","424","4"
"Sertanópolis (PR)","2010","13733","7651","2132","2850","1029","70"
"Siqueira Campos (PR)","2010","16043","9687","2728","2739","846","43"
"Sulina (PR)","2010","2938","1965","424","393","119","37"
"Tamarana (PR)","2010","10128","6853","1524","1215","345","192"
"Tamboara (PR)","2010","4112","2214","616","1129","151","3"
"Tapejara (PR)","2010","12541","7505","2192","2360","469","15"
"Tapira (PR)","2010","5090","3099","878","874","218","22"
"Teixeira Soares (PR)","2010","8595","5573","1325","1372","309","16"
"Telêmaco Borba (PR)","2010","59004","30083","10551","14563","3669","139"
"Terra Boa (PR)","2010","13793","7595","2327","3220","586","64"
"Terra Rica (PR)","2010","13008","7472","2407","2579","541","10"
"Terra Roxa (PR)","2010","14548","8042","2410","3209","860","27"
"Tibagi (PR)","2010","15850","10578","2474","2130","541","128"
"Tijucas do Sul (PR)","2010","12224","8685","1634","1426","410","69"
"Toledo (PR)","2010","103546","47497","20154","24732","10845","318"
"Tomazina (PR)","2010","7666","4709","1286","1318","352","1"
"Três Barras do Paraná (PR)","2010","9972","6327","1714","1504","316","112"
"Tunas do Paraná (PR)","2010","4907","3690","630","447","114","27"
"Tuneiras do Oeste (PR)","2010","7512","4322","1536","1333","301","19"
"Tupãssi (PR)","2010","6896","3846","1275","1252","428","96"
"Turvo (PR)","2010","11562","7719","1739","1705","379","20"
"Ubiratã (PR)","2010","18762","10343","3039","3711","1519","150"
"Umuarama (PR)","2010","88146","41125","15817","21531","9227","446"
"União da Vitória (PR)","2010","44651","21684","9102","9508","4248","109"
"Uniflor (PR)","2010","2142","1170","347","514","107","4"
"Uraí (PR)","2010","10069","5719","1640","1861","841","8"
"Wenceslau Braz (PR)","2010","16453","9676","2506","3351","819","101"
"Ventania (PR)","2010","8282","5518","1335","1192","222","14"
"Vera Cruz do Oeste (PR)","2010","7828","4706","1305","1447","334","37"
"Verê (PR)","2010","6903","4205","1460","900","325","14"
"Alto Paraíso (PR)","2010","2724","1806","463","333","122","-"
"Doutor Ulysses (PR)","2010","4676","3646","738","156","58","78"
"Virmond (PR)","2010","3349","2056","639","511","140","3"
"Vitorino (PR)","2010","5596","3368","827","938","390","72"
"Xambrê (PR)","2010","5217","3111","935","983","174","15"
"Abdon Batista (SC)","2010","2298","1454","299","427","119","-"
"Abelardo Luz (SC)","2010","14197","8765","2645","2027","759","-"
"Agrolândia (SC)","2010","7994","4564","1515","1598","317","-"
"Agronômica (SC)","2010","4191","2605","717","675","130","65"
"Água Doce (SC)","2010","5868","3685","915","846","412","10"
"Águas de Chapecó (SC)","2010","5310","3221","1006","895","188","-"
"Águas Frias (SC)","2010","2121","1252","327","436","105","-"
"Águas Mornas (SC)","2010","4927","3032","897","810","186","2"
"Alfredo Wagner (SC)","2010","8067","5539","1238","890","396","4"
"Alto Bela Vista (SC)","2010","1777","1062","286","320","108","-"
"Anchieta (SC)","2010","5490","3467","805","964","255","-"
"Angelina (SC)","2010","4624","3142","665","642","176","-"
"Anita Garibaldi (SC)","2010","7437","4620","1089","1211","516","-"
"Anitápolis (SC)","2010","2779","1998","333","328","116","3"
"Antônio Carlos (SC)","2010","6474","3951","1182","988","343","9"
"Apiúna (SC)","2010","8228","5269","1207","1352","390","10"
"Arabutã (SC)","2010","3694","2396","557","540","180","21"
"Araquari (SC)","2010","20214","10605","5317","3438","729","124"
"Araranguá (SC)","2010","52530","24993","9964","13479","3896","198"
"Armazém (SC)","2010","6738","3533","1372","1473","360","-"
"Arroio Trinta (SC)","2010","3152","1791","503","648","204","6"
"Arvoredo (SC)","2010","1965","1255","303","325","81","-"
"Ascurra (SC)","2010","6474","3696","1333","1108","325","14"
"Atalanta (SC)","2010","2882","1588","532","628","130","2"
"Aurora (SC)","2010","4804","3099","808","703","166","29"
"Balneário Arroio do Silva (SC)","2010","8254","4225","1483","1858","642","46"
"Balneário Camboriú (SC)","2010","96124","28090","18021","30498","19262","253"
"Balneário Barra do Sul (SC)","2010","7345","4153","1347","1382","449","15"
"Balneário Gaivota (SC)","2010","7070","4090","1192","1393","393","3"
"Bandeirante (SC)","2010","2550","1774","381","350","45","-"
"Barra Bonita (SC)","2010","1641","1119","250","215","57","-"
"Barra Velha (SC)","2010","19031","9960","3630","3914","1369","157"
"Bela Vista do Toldo (SC)","2010","5055","3180","1099","639","127","10"
"Belmonte (SC)","2010","2268","1420","402","313","115","19"
"Benedito Novo (SC)","2010","8972","5012","1830","1590","441","100"
"Biguaçu (SC)","2010","49863","23498","10824","12566","2683","292"
"Blumenau (SC)","2010","271115","105428","59541","71013","32914","2219"
"Bocaina do Sul (SC)","2010","2835","1839","453","427","102","15"
"Bombinhas (SC)","2010","12253","5484","2259","3424","1055","31"
"Bom Jardim da Serra (SC)","2010","3795","2394","657","532","205","7"
"Bom Jesus (SC)","2010","2178","1272","323","430","149","4"
"Bom Jesus do Oeste (SC)","2010","1860","1187","320","275","76","2"
"Bom Retiro (SC)","2010","7479","4628","1307","1196","343","4"
"Botuverá (SC)","2010","3991","2501","646","709","132","3"
"Braço do Norte (SC)","2010","24899","11419","4903","6459","1897","222"
"Braço do Trombudo (SC)","2010","2964","1509","570","707","149","27"
"Brunópolis (SC)","2010","2444","1706","299","369","68","2"
"Brusque (SC)","2010","92264","41228","19597","23014","8177","248"
"Caçador (SC)","2010","59611","31635","11348","11862","4488","279"
"Caibi (SC)","2010","5460","3300","749","1078","331","2"
"Calmon (SC)","2010","2687","1930","476","227","46","9"
"Camboriú (SC)","2010","52109","27954","13101","8444","2123","487"
"Capão Alto (SC)","2010","2383","1628","359","289","89","18"
"Campo Alegre (SC)","2010","9976","5648","1549","2252","451","77"
"Campo Belo do Sul (SC)","2010","6366","4234","941","971","185","34"
"Campo Erê (SC)","2010","7881","4967","1272","1193","437","13"
"Campos Novos (SC)","2010","27869","14437","5470","5642","2236","84"
"Canelinha (SC)","2010","8957","5755","1905","816","313","169"
"Canoinhas (SC)","2010","44973","21355","8286","11485","3650","198"
"Capinzal (SC)","2010","17809","9269","3290","3981","1260","10"
"Capivari de Baixo (SC)","2010","18709","8110","4212","5118","1154","115"
"Catanduvas (SC)","2010","8085","4559","1422","1501","588","15"
"Caxambu do Sul (SC)","2010","3881","2689","410","452","266","64"
"Celso Ramos (SC)","2010","2413","1380","436","465","133","-"
"Cerro Negro (SC)","2010","3070","2294","347","372","56","2"
"Chapadão do Lageado (SC)","2010","2315","1460","401","331","123","-"
"Chapecó (SC)","2010","157949","66618","32423","41533","16402","973"
"Cocal do Sul (SC)","2010","13376","5782","2638","3931","828","197"
"Concórdia (SC)","2010","60101","25852","11354","16507","6189","199"
"Cordilheira Alta (SC)","2010","3324","1773","695","700","154","1"
"Coronel Freitas (SC)","2010","8972","5157","1707","1607","501","-"
"Coronel Martins (SC)","2010","2157","1370","350","360","75","3"
"Corupá (SC)","2010","11972","5692","2836","2564","756","123"
"Correia Pinto (SC)","2010","12575","7093","2422","2382","626","53"
"Criciúma (SC)","2010","167414","68427","34070","44477","19512","928"
"Cunha Porã (SC)","2010","9382","5074","1770","2083","446","10"
"Cunhataí (SC)","2010","1668","1044","322","249","51","3"
"Curitibanos (SC)","2010","31783","17411","5612","6129","2500","131"
"Descanso (SC)","2010","7668","4586","1120","1630","328","3"
"Dionísio Cerqueira (SC)","2010","12568","7715","2184","1895","732","41"
"Dona Emma (SC)","2010","3175","1994","517","517","146","-"
"Doutor Pedrinho (SC)","2010","3109","1937","701","344","121","6"
"Entre Rios (SC)","2010","2477","1623","402","364","66","21"
"Ermo (SC)","2010","1774","1034","337","327","73","2"
"Erval Velho (SC)","2010","3817","2349","643","603","222","-"
"Faxinal dos Guedes (SC)","2010","9064","4527","1988","1973","547","29"
"Flor do Sertão (SC)","2010","1380","910","210","174","87","-"
"Florianópolis (SC)","2010","373988","97248","57447","127752","90436","1104"
"Formosa do Sul (SC)","2010","2283","1454","384","293","136","17"
"Forquilhinha (SC)","2010","19256","10277","4029","4175","733","43"
"Fraiburgo (SC)","2010","28959","16001","5771","4833","2109","246"
"Frei Rogério (SC)","2010","2141","1398","283","319","134","6"
"Galvão (SC)","2010","2992","1885","476","441","188","3"
"Garopaba (SC)","2010","15790","7827","2525","3968","1402","68"
"Garuva (SC)","2010","12247","6574","2552","2688","422","11"
"Gaspar (SC)","2010","50253","24359","11803","10149","3638","305"
"Governador Celso Ramos (SC)","2010","11447","6217","2188","2592","418","32"
"Grão-Pará (SC)","2010","5428","3151","986","997","290","3"
"Gravatal (SC)","2010","9335","4778","1804","2066","676","10"
"Guabiruba (SC)","2010","16114","8824","3072","3494","666","59"
"Guaraciaba (SC)","2010","9382","5612","1610","1724","389","48"
"Guaramirim (SC)","2010","29918","15249","6399","5877","1804","588"
"Guarujá do Sul (SC)","2010","4353","2622","656","853","215","5"
"Guatambú (SC)","2010","4028","2404","720","726","170","8"
"Herval d'Oeste (SC)","2010","18413","8841","3703","4454","1400","15"
"Ibiam (SC)","2010","1707","1026","344","244","93","-"
"Ibicaré (SC)","2010","2960","1907","428","484","137","4"
"Ibirama (SC)","2010","14911","8356","2904","2636","981","34"
"Içara (SC)","2010","50780","26458","11124","10392","2475","332"
"Ilhota (SC)","2010","10516","6119","2090","1834","407","66"
"Imaruí (SC)","2010","10274","7252","1368","1216","362","77"
"Imbituba (SC)","2010","35079","15852","7616","8622","2902","86"
"Imbuia (SC)","2010","4801","3073","774","691","221","42"
"Indaial (SC)","2010","47045","21846","10429","11253","3157","361"
"Iomerê (SC)","2010","2433","1221","515","548","149","-"
"Ipira (SC)","2010","4202","2526","729","745","202","-"
"Iporã do Oeste (SC)","2010","7331","4124","1244","1591","372","-"
"Ipuaçu (SC)","2010","5434","3573","821","737","259","44"
"Ipumirim (SC)","2010","6361","3825","962","1340","220","14"
"Iraceminha (SC)","2010","3704","2362","570","609","160","2"
"Irani (SC)","2010","8117","4451","1323","1916","402","26"
"Irati (SC)","2010","1840","1147","325","295","72","2"
"Irineópolis (SC)","2010","8807","5745","1374","1231","441","16"
"Itá (SC)","2010","5575","2766","997","1433","379","-"
"Itaiópolis (SC)","2010","16892","10171","3115","2677","928","-"
"Itajaí (SC)","2010","157549","63577","34304","42635","16377","655"
"Itapema (SC)","2010","39525","15942","8696","10271","4563","55"
"Itapiranga (SC)","2010","13391","6440","2437","3386","1109","19"
"Itapoá (SC)","2010","12684","5833","2651","3126","1050","25"
"Ituporanga (SC)","2010","19017","10888","3453","3043","1397","237"
"Jaborá (SC)","2010","3577","2172","543","636","216","9"
"Jacinto Machado (SC)","2010","9218","5480","1460","1733","529","17"
