"Tabela 1685 - Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
"Município","Ano","Variável"
"Município","Ano","Número de unidades locais (Unidades)","Número de empresas e outras organizações atuantes (Unidades)","Pessoal ocupado total (Pessoas)","Pessoal ocupado assalariado (Pessoas)","Pessoal assalariado médio (Pessoas)","Salários e outras remunerações (Mil Reais)","Salário médio mensal (Salários mínimos)","Salário médio mensal em reais (Reais)"
"Tracuateua (PA)","2021","99","99","1530","1432","1307.38","43805","2.3","2577.40"
"Trairão (PA)","2021","157","153","1057","905","976.09","29258","2.1","2305.73"
"Tucumã (PA)","2021","734","727","5358","4636","4454.11","111377","1.7","1923.50"
"Tucuruí (PA)","2021","1109","1060","12917","11678","11051.68","391865","2.5","2727.50"
"Ulianópolis (PA)","2021","239","232","4835","4583","4430.46","116062","1.8","2015.11"
"Uruará (PA)","2021","430","421","3323","2899","2703.15","98862","2.6","2813.30"
"Vigia (PA)","2021","259","252","3110","2852","2742.58","69372","1.8","1945.72"
"Viseu (PA)","2021","222","213","2950","2827","2640.02","79840","2.1","2326.33"
"Vitória do Xingu (PA)","2021","124","119","2611","2502","2322.42","84474","2.5","2797.95"
"Xinguara (PA)","2021","1154","1139","8844","7718","8092.24","224760","1.9","2136.52"
"Serra do Navio (AP)","2021","32","32","411","388","362.06","11568","2.2","2457.79"
"Amapá (AP)","2021","51","49","532","485","477.58","13153","1.9","2118.61"
"Pedra Branca do Amapari (AP)","2021","101","98","2111","2019","2133.71","111101","3.6","4005.35"
"Calçoene (AP)","2021","78","74","626","558","534.11","14518","1.9","2090.96"
"Cutias (AP)","2021","20","19","442","428","428.94","9039","1.5","1620.92"
"Ferreira Gomes (AP)","2021","54","53","753","715","783.44","32067","2.9","3148.56"
"Itaubal (AP)","2021","22","22","390","371","364.43","10877","2.1","2295.84"
"Laranjal do Jari (AP)","2021","299","297","3145","2859","2852.30","94980","2.3","2561.48"
"Macapá (AP)","2021","6517","5861","106360","99894","98006.65","5331941","3.8","4184.91"
"Mazagão (AP)","2021","91","89","1202","1112","995.26","35584","2.5","2750.28"
"Oiapoque (AP)","2021","248","235","1937","1700","1649.55","44322","1.9","2066.87"
"Porto Grande (AP)","2021","148","147","1934","1803","1739.46","49767","2.0","2200.82"
"Pracuúba (AP)","2021","18","17","292","285","285.16","6828","1.7","1841.82"
"Santana (AP)","2021","994","943","11573","10640","10198.30","273376","1.9","2062.00"
"Tartarugalzinho (AP)","2021","81","80","1228","1153","1001.63","28302","2.0","2173.55"
"Vitória do Jari (AP)","2021","88","83","594","504","1130.37","26510","1.6","1804.04"
"Abreulândia (TO)","2021","34","34","264","234","254.12","6068","1.7","1836.95"
"Aguiarnópolis (TO)","2021","58","58","1602","1550","1446.87","30561","1.5","1624.81"
"Aliança do Tocantins (TO)","2021","110","107","663","569","531.10","13220","1.7","1914.73"
"Almas (TO)","2021","108","107","700","583","589.55","13325","1.6","1738.59"
"Alvorada (TO)","2021","332","328","1931","1645","1517.89","39177","1.8","1985.41"
"Ananás (TO)","2021","172","166","902","744","784.06","18372","1.6","1802.47"
"Angico (TO)","2021","39","39","337","304","285.57","6463","1.6","1740.88"
"Aparecida do Rio Negro (TO)","2021","79","78","649","559","535.28","12956","1.7","1861.88"
"Aragominas (TO)","2021","31","31","244","224","306.55","7682","1.8","1927.71"
"Araguacema (TO)","2021","63","61","568","505","532.21","11112","1.5","1606.06"
"Araguaçu (TO)","2021","219","215","1064","883","864.07","21825","1.8","1942.99"
"Araguaína (TO)","2021","4862","4662","39921","34689","34775.93","1031552","2.1","2281.75"
"Araguanã (TO)","2021","47","47","340","297","316.78","9428","2.1","2289.42"
"Araguatins (TO)","2021","337","330","2397","2100","2171.41","59230","1.9","2098.25"
"Arapoema (TO)","2021","108","107","2404","2310","3465.20","124747","2.5","2769.23"
"Arraias (TO)","2021","137","134","872","745","808.55","26927","2.3","2561.75"
"Augustinópolis (TO)","2021","349","345","2039","1650","1545.19","39481","1.8","1965.46"
"Aurora do Tocantins (TO)","2021","37","37","121","86","87.25","1681","1.3","1481.72"
"Axixá do Tocantins (TO)","2021","72","72","825","760","764.21","24009","2.2","2416.64"
"Babaçulândia (TO)","2021","65","65","469","399","712.60","16244","1.6","1753.53"
"Bandeirantes do Tocantins (TO)","2021","47","47","641","595","519.09","15857","2.1","2349.89"
"Barra do Ouro (TO)","2021","36","35","365","341","340.80","6886","1.4","1554.28"
"Barrolândia (TO)","2021","68","68","592","537","512.98","10895","1.5","1633.76"
"Bernardo Sayão (TO)","2021","53","53","446","404","434.25","12216","2.0","2163.97"
"Bom Jesus do Tocantins (TO)","2021","38","38","285","256","293.20","7649","1.8","2006.87"
"Brasilândia do Tocantins (TO)","2021","26","26","326","305","288.89","6214","1.5","1654.55"
"Brejinho de Nazaré (TO)","2021","86","86","608","518","572.81","15757","1.9","2115.97"
"Buriti do Tocantins (TO)","2021","61","60","595","538","612.61","12746","1.5","1600.48"
"Cachoeirinha (TO)","2021","23","23","281","265","249.61","5399","1.5","1663.75"
"Campos Lindos (TO)","2021","125","122","1006","906","894.58","24661","1.9","2120.51"
"Cariri do Tocantins (TO)","2021","92","88","1143","1069","1059.71","32401","2.1","2351.92"
"Carmolândia (TO)","2021","19","18","320","307","276.65","4972","1.3","1382.48"
"Carrasco Bonito (TO)","2021","20","20","341","325","306.50","6489","1.5","1628.50"
"Caseara (TO)","2021","64","63","817","744","801.26","22395","2.0","2150.00"
"Centenário (TO)","2021","23","23","261","244","225.29","5100","1.6","1741.45"
"Chapada de Areia (TO)","2021","17","17","264","251","221.19","4122","1.3","1433.53"
"Chapada da Natividade (TO)","2021","43","43","503","475","463.08","11320","1.7","1880.39"
"Colinas do Tocantins (TO)","2021","815","804","5334","4454","4668.42","130243","2.0","2146.06"
"Combinado (TO)","2021","76","76","475","402","387.94","9123","1.6","1809.05"
"Conceição do Tocantins (TO)","2021","43","43","419","381","397.39","8876","1.6","1718.11"
"Couto Magalhães (TO)","2021","82","81","691","601","525.19","15243","2.0","2232.63"
"Cristalândia (TO)","2021","117","115","834","740","687.83","16910","1.7","1891.10"
"Crixás do Tocantins (TO)","2021","21","21","271","254","247.14","4919","1.4","1531.12"
"Darcinópolis (TO)","2021","73","71","630","558","536.05","11156","1.5","1600.96"
"Dianópolis (TO)","2021","446","438","2482","2037","1959.52","55226","2.0","2167.98"
"Divinópolis do Tocantins (TO)","2021","165","164","1158","984","934.02","22884","1.7","1884.68"
"Dois Irmãos do Tocantins (TO)","2021","84","82","502","417","384.25","9631","1.8","1927.96"
"Dueré (TO)","2021","78","78","593","529","525.28","11872","1.6","1738.55"
"Esperantina (TO)","2021","45","45","600","560","677.47","14305","1.5","1624.21"
"Fátima (TO)","2021","71","69","412","338","430.37","9602","1.6","1716.29"
"Figueirópolis (TO)","2021","82","80","549","484","482.51","12716","1.8","2027.17"
"Filadélfia (TO)","2021","60","58","457","417","454.07","10661","1.6","1806.12"
"Formoso do Araguaia (TO)","2021","431","422","2574","2148","2311.43","63880","1.9","2125.90"
"Tabocão (TO)","2021","57","56","835","783","711.99","18784","1.8","2029.38"
"Goianorte (TO)","2021","79","79","625","549","471.09","11951","1.8","1951.43"
"Goiatins (TO)","2021","84","75","269","205","210.03","4119","1.4","1508.60"
"Guaraí (TO)","2021","548","532","3660","3049","3011.60","87485","2.0","2234.58"
"Gurupi (TO)","2021","2933","2836","19082","15908","15639.47","471683","2.1","2319.98"
"Ipueiras (TO)","2021","25","25","268","245","239.92","5652","1.6","1812.21"
"Itacajá (TO)","2021","58","58","571","518","487.92","12555","1.8","1979.28"
"Itaguatins (TO)","2021","41","40","428","349","333.80","8880","1.9","2046.36"
"Itapiratins (TO)","2021","32","32","351","321","297.51","7213","1.7","1864.84"
"Itaporã do Tocantins (TO)","2021","27","27","309","283","267.23","5519","1.4","1588.55"
"Jaú do Tocantins (TO)","2021","49","48","357","317","291.87","7127","1.7","1878.24"
"Juarina (TO)","2021","21","21","265","250","247.66","4996","1.4","1551.70"
"Lagoa da Confusão (TO)","2021","348","341","2364","2019","1986.17","66108","2.3","2560.30"
"Lagoa do Tocantins (TO)","2021","57","56","440","378","344.43","7640","1.6","1706.26"
"Lajeado (TO)","2021","92","92","575","490","491.54","13407","1.9","2098.07"
"Lavandeira (TO)","2021","15","15","195","186","181.34","3746","1.4","1588.84"
"Lizarda (TO)","2021","39","39","286","255","217.62","5079","1.6","1795.16"
"Luzinópolis (TO)","2021","42","42","414","374","329.59","6213","1.3","1450.03"
"Marianópolis do Tocantins (TO)","2021","94","94","717","636","723.18","20694","2.0","2201.15"
"Mateiros (TO)","2021","61","61","481","427","387.11","9772","1.8","1941.82"
"Maurilândia do Tocantins (TO)","2021","18","17","251","236","302.84","7705","1.8","1957.24"
"Miracema do Tocantins (TO)","2021","356","348","2390","2048","1805.98","54900","2.1","2338.39"
"Miranorte (TO)","2021","283","276","1522","1213","1267.62","32151","1.8","1951.02"
"Monte do Carmo (TO)","2021","76","75","570","499","474.09","13634","2.0","2212.20"
"Monte Santo do Tocantins (TO)","2021","32","32","308","280","259.96","5938","1.6","1757.12"
"Palmeiras do Tocantins (TO)","2021","43","43","491","453","419.34","9816","1.6","1800.57"
"Muricilândia (TO)","2021","32","32","392","363","358.01","8324","1.6","1788.43"
"Natividade (TO)","2021","233","232","1252","1061","977.81","30229","2.2","2378.04"
"Nazaré (TO)","2021","41","41","360","329","305.25","6785","1.6","1709.88"
"Nova Olinda (TO)","2021","144","141","1394","1243","1472.39","38968","1.9","2035.85"
"Nova Rosalândia (TO)","2021","34","34","338","301","306.23","7518","1.7","1888.57"
"Novo Acordo (TO)","2021","66","63","566","498","440.23","9489","1.5","1658.00"
"Novo Alegre (TO)","2021","23","23","218","202","188.12","3713","1.4","1518.25"
"Novo Jardim (TO)","2021","28","28","305","281","266.40","6136","1.6","1771.83"
"Oliveira de Fátima (TO)","2021","21","21","234","221","198.18","4342","1.5","1685.37"
"Palmeirante (TO)","2021","58","49","528","493","523.28","15213","2.0","2236.36"
"Palmeirópolis (TO)","2021","204","204","1144","949","886.30","20669","1.6","1793.91"
"Paraíso do Tocantins (TO)","2021","1668","1624","11072","9045","9287.09","253134","1.9","2096.66"
"Paranã (TO)","2021","106","106","905","814","822.65","19917","1.7","1862.36"
"Pau D'Arco (TO)","2021","55","54","396","350","362.68","8622","1.7","1828.69"
"Pedro Afonso (TO)","2021","335","332","2785","2411","2423.55","78328","2.3","2486.11"
"Peixe (TO)","2021","167","166","1050","870","946.25","27304","2.0","2219.57"
"Pequizeiro (TO)","2021","54","54","533","483","455.94","9604","1.5","1620.28"
"Colméia (TO)","2021","174","173","848","676","710.82","18148","1.8","1963.97"
"Pindorama do Tocantins (TO)","2021","55","55","381","341","329.49","6926","1.5","1616.92"
"Piraquê (TO)","2021","31","31","353","332","318.44","7774","1.7","1877.98"
"Pium (TO)","2021","93","93","838","741","773.77","18769","1.7","1865.86"
"Ponte Alta do Bom Jesus (TO)","2021","47","47","427","360","309.88","7071","1.6","1755.19"
"Ponte Alta do Tocantins (TO)","2021","101","101","593","512","547.50","13035","1.7","1831.38"
"Porto Alegre do Tocantins (TO)","2021","38","38","266","225","227.92","5201","1.6","1755.43"
"Porto Nacional (TO)","2021","1699","1668","12303","10495","10326.36","324099","2.2","2414.28"
"Praia Norte (TO)","2021","27","27","348","323","488.76","11942","1.7","1879.46"
"Presidente Kennedy (TO)","2021","61","61","381","327","307.95","7041","1.6","1758.73"
"Pugmil (TO)","2021","38","38","440","386","384.70","8293","1.5","1658.24"
"Recursolândia (TO)","2021","36","36","90","64","40.28","911","1.6","1740.49"
"Riachinho (TO)","2021","30","30","331","315","334.36","7491","1.6","1723.34"
"Rio da Conceição (TO)","2021","26","26","316","294","306.22","5376","1.2","1350.34"
"Rio dos Bois (TO)","2021","24","24","329","312","263.67","5313","1.4","1549.96"
"Rio Sono (TO)","2021","70","69","419","361","345.46","8793","1.8","1957.88"
"Sampaio (TO)","2021","30","30","389","361","339.34","7789","1.6","1765.69"
"Sandolândia (TO)","2021","52","52","448","407","363.55","7178","1.4","1518.69"
"Santa Fé do Araguaia (TO)","2021","127","124","592","482","485.00","13946","2.0","2211.90"
"Santa Maria do Tocantins (TO)","2021","31","31","312","279","261.93","5874","1.6","1724.96"
"Santa Rita do Tocantins (TO)","2021","38","38","338","307","296.87","6795","1.6","1760.58"
"Santa Rosa do Tocantins (TO)","2021","78","78","675","610","557.34","14042","1.8","1938.02"
"Santa Tereza do Tocantins (TO)","2021","39","39","356","316","284.23","5975","1.5","1617.14"
"Santa Terezinha do Tocantins (TO)","2021","19","19","205","188","194.63","4620","1.7","1825.77"
"São Bento do Tocantins (TO)","2021","47","47","632","590","539.56","10927","1.4","1557.80"
"São Félix do Tocantins (TO)","2021","35","35","279","248","234.52","5309","1.6","1741.26"
"São Miguel do Tocantins (TO)","2021","73","73","756","702","668.03","15267","1.6","1758.02"
"São Salvador do Tocantins (TO)","2021","37","37","378","360","335.93","7012","1.5","1605.72"
"São Sebastião do Tocantins (TO)","2021","20","20","410","397","376.54","8684","1.6","1774.12"
"São Valério (TO)","2021","63","63","361","310","423.88","9855","1.6","1788.49"
"Silvanópolis (TO)","2021","95","95","656","558","615.74","14539","1.7","1816.39"
"Sítio Novo do Tocantins (TO)","2021","73","73","868","788","749.82","17242","1.6","1768.80"
"Sucupira (TO)","2021","16","16","267","258","234.95","4412","1.3","1444.36"
"Taguatinga (TO)","2021","202","197","1469","1249","1228.84","34316","2.0","2148.09"
"Taipas do Tocantins (TO)","2021","24","24","248","236","217.87","4370","1.4","1542.76"
"Talismã (TO)","2021","33","33","351","327","328.53","9277","2.0","2172.24"
"Palmas (TO)","2021","11299","10879","143487","130005","126892.88","6805216","3.8","4125.35"
"Tocantínia (TO)","2021","69","69","698","629","516.58","14331","1.9","2134.06"
"Tocantinópolis (TO)","2021","314","307","2855","2587","2404.85","58741","1.7","1878.94"
"Tupirama (TO)","2021","23","22","166","152","244.14","5406","1.5","1703.28"
"Tupiratins (TO)","2021","22","22","296","280","263.18","5600","1.5","1636.88"
"Wanderlândia (TO)","2021","89","88","686","623","657.50","16888","1.8","1975.79"
"Xambioá (TO)","2021","174","172","1636","1474","1412.01","41615","2.1","2267.11"
"Açailândia (MA)","2021","1587","1526","19653","17958","16658.65","574727","2.4","2653.86"
"Afonso Cunha (MA)","2021","32","32","388","358","348.44","9680","1.9","2136.99"
"Água Doce do Maranhão (MA)","2021","56","56","676","621","620.50","15840","1.8","1963.65"
"Alcântara (MA)","2021","62","61","683","631","640.60","20369","2.2","2445.89"
"Aldeias Altas (MA)","2021","73","72","2269","2206","2099.07","49827","1.7","1825.99"
"Altamira do Maranhão (MA)","2021","29","29","334","306","299.99","7732","1.8","1982.57"
"Alto Alegre do Maranhão (MA)","2021","149","146","2952","2811","2432.20","46374","1.3","1466.68"
"Alto Alegre do Pindaré (MA)","2021","144","142","1892","1798","1760.21","45856","1.8","2003.95"
"Alto Parnaíba (MA)","2021","194","189","1510","1308","1468.53","42055","2.0","2202.89"
"Amapá do Maranhão (MA)","2021","58","58","359","313","312.27","8997","2.0","2216.28"
"Amarante do Maranhão (MA)","2021","180","179","1436","1278","1245.01","36575","2.1","2259.77"
"Anajatuba (MA)","2021","103","103","876","779","776.12","26445","2.4","2621.05"
"Anapurus (MA)","2021","87","87","1059","980","1037.84","25763","1.7","1909.48"
"Apicum-Açu (MA)","2021","43","41","679","646","638.81","21377","2.3","2574.17"
"Araguanã (MA)","2021","38","38","303","268","267.81","8926","2.3","2563.85"
"Araioses (MA)","2021","165","163","2044","1870","1882.16","53368","2.0","2181.15"
"Arame (MA)","2021","142","141","2016","1878","1687.08","42220","1.8","1925.06"
"Arari (MA)","2021","268","265","2429","2189","2013.54","53909","1.9","2059.50"
"Axixá (MA)","2021","64","64","969","906","782.77","18555","1.7","1823.39"
"Bacabal (MA)","2021","1272","1228","9565","8158","8141.55","204714","1.8","1934.18"
"Bacabeira (MA)","2021","157","153","1466","1323","1305.74","38529","2.1","2269.81"
"Bacuri (MA)","2021","72","71","1033","907","886.27","31239","2.5","2711.39"
"Bacurituba (MA)","2021","22","22","334","320","297.57","7326","1.7","1893.72"
"Balsas (MA)","2021","2860","2779","22210","19318","19031.06","557506","2.0","2253.43"
"Barão de Grajaú (MA)","2021","188","184","1767","1564","1515.22","35642","1.6","1809.44"
"Barra do Corda (MA)","2021","775","754","6035","5154","5004.30","136869","1.9","2103.87"
"Barreirinhas (MA)","2021","610","596","5584","4980","4518.28","111560","1.7","1899.29"
"Belágua (MA)","2021","41","41","653","640","563.52","14594","1.8","1992.13"
"Bela Vista do Maranhão (MA)","2021","64","64","532","469","464.98","13610","2.0","2251.54"
"Benedito Leite (MA)","2021","39","39","337","298","310.99","7203","1.6","1781.72"
"Bequimão (MA)","2021","78","78","976","900","859.00","22489","1.8","2013.85"
"Bernardo do Mearim (MA)","2021","43","43","1063","1017","681.16","22740","2.3","2567.99"
"Boa Vista do Gurupi (MA)","2021","55","55","524","477","437.37","11326","1.8","1991.90"
"Bom Jardim (MA)","2021","176","172","1627","1477","1442.40","41273","2.0","2201.11"
"Bom Jesus das Selvas (MA)","2021","191","191","1676","1540","1461.54","34689","1.7","1825.71"
"Bom Lugar (MA)","2021","76","76","544","490","486.79","14957","2.1","2363.49"
"Brejo (MA)","2021","325","317","1796","1520","1530.77","40420","1.8","2031.14"
"Brejo de Areia (MA)","2021","26","25","258","237","237.19","7305","2.2","2369.18"
"Buriti (MA)","2021","166","164","1236","1073","1055.33","42270","2.8","3081.03"
"Buriti Bravo (MA)","2021","190","189","841","671","659.41","18050","1.9","2105.62"
"Buriticupu (MA)","2021","434","422","4628","4263","4268.65","120918","2.0","2178.99"
"Buritirana (MA)","2021","44","44","519","476","476.43","16717","2.5","2699.07"
"Cachoeira Grande (MA)","2021","24","24","340","326","323.39","8787","1.9","2090.23"
"Cajapió (MA)","2021","30","30","408","386","378.87","11801","2.2","2396.08"
"Cajari (MA)","2021","47","47","1844","1810","1297.57","27049","1.5","1603.54"
"Campestre do Maranhão (MA)","2021","124","122","1889","1760","1980.45","58080","2.1","2255.92"
"Cândido Mendes (MA)","2021","92","87","1200","1115","916.56","25104","1.9","2106.87"
"Cantanhede (MA)","2021","131","129","1369","1247","1025.32","31635","2.2","2373.38"
"Capinzal do Norte (MA)","2021","72","71","579","513","593.76","15109","1.8","1957.45"
"Carolina (MA)","2021","388","373","3171","2917","2879.44","68526","1.7","1830.65"
"Carutapera (MA)","2021","132","128","1717","1614","1326.69","35760","1.9","2073.40"
"Caxias (MA)","2021","1736","1677","18489","16582","15742.79","344673","1.5","1684.15"
"Cedral (MA)","2021","30","29","648","623","554.60","12143","1.5","1684.17"
"Central do Maranhão (MA)","2021","16","16","507","496","584.83","12784","1.5","1681.47"
"Centro do Guilherme (MA)","2021","53","53","826","785","613.34","12170","1.4","1526.28"
"Centro Novo do Maranhão (MA)","2021","75","75","1508","1455","1521.32","40183","1.8","2031.80"
"Chapadinha (MA)","2021","908","878","5444","4487","4466.93","122156","1.9","2103.59"
"Cidelândia (MA)","2021","78","78","818","739","759.23","23893","2.2","2420.79"
"Codó (MA)","2021","998","944","11599","10655","10569.89","266017","1.8","1935.96"
"Coelho Neto (MA)","2021","339","323","3332","2995","2516.70","80188","2.2","2450.96"
"Colinas (MA)","2021","389","386","3525","3123","2952.00","73497","1.7","1915.18"
"Conceição do Lago-Açu (MA)","2021","26","26","787","767","769.10","26608","2.4","2661.21"
"Coroatá (MA)","2021","531","510","4866","4331","4189.48","96532","1.6","1772.43"
"Cururupu (MA)","2021","175","173","1598","1428","1357.40","39390","2.0","2232.22"
